,,,,
temprature,Covid-19 recession,great recession,off_crisis 2005,off_crisis 2019
0.01,0.1722115411409445,0.14760340335780262,0.14936231182035675,0.1620451136506077
0.012,0.1722115411409445,0.14760340335780262,0.14941600397213076,0.1621062133517112
0.014,0.1722115411409445,0.14760340335780262,0.1495006819041053,0.16215318781841667
0.016,0.1722115411409445,0.14760340335780262,0.1496164868285418,0.16221931600719341
0.018,0.1722115411409445,0.14760340335780262,0.14967972016310344,0.1622769898216586
0.02,0.1722115411409445,0.14760340335780262,0.14982239169028969,0.1623996526394913
0.04,0.1722115411409445,0.14760340335780262,0.15146654544295557,0.16379677590527192
0.06,0.1722115411409445,0.14760340335780262,0.15400166849665167,0.166265390388006
0.08,0.1722115411409445,0.14760340335780262,0.15837191711123527,0.1701258019830734
0.1,0.1722115411409445,0.14760340335780262,0.16375842739006674,0.17718957508595573
0.3,0.1722115411409445,0.14760340335780262,0.2235046974637811,0.2383817755667245
0.5,0.17226816615395438,0.14760340335780262,0.25725145077641404,0.25816002626601064
0.7,0.17245226150522036,0.14760340335780262,0.258305603940483,0.26993145663496576
0.9,0.17254971288945994,0.14760340335780262,0.258329405395112,0.27100955101452334
1.2,0.17356973292481348,0.14760340335780262,0.2583120400343312,0.2710695701591799
1.5,0.1749193557168844,0.14770516428890068,0.2582692000630927,0.2710104995080628
1.8,0.1776153523277382,0.1479056013100164,0.2582991783780777,0.2710620633002815
2.1,0.1803613449703599,0.1483636078075216,0.2583026833922258,0.2710323430662159
2.4,0.19277124313760274,0.14880540713244747,0.25826699358670113,0.2710658279286714
2.8,0.20966432409972693,0.15064403803181523,0.25831344162785097,0.27107337694913386
3.1,0.2259974939858146,0.1539635701767668,0.25831238976165755,0.27108829780653965
3.3,0.2321914041438275,0.15681199024387282,0.2582935609007721,0.27106884627910666
3.5,0.23342334277171686,0.15876170260658237,0.2582708767212084,0.27103225010685983
3.7,0.23106549271035484,0.16288613307541674,0.2582697647869486,0.27108873450219745
3.9,0.2380163877313559,0.1679754224112775,0.2582845361601909,0.271031025663458
4.1,0.23989795783986392,0.1739831013431521,0.2582994919906561,0.2710856781793399
4.3,0.2360627710432245,0.17757504812724154,0.25830898882654074,0.2710320742156286
4.5,0.2407181939140699,0.18388380628479797,0.25831888231363437,0.2710368371083717
4.7,0.24491235661342844,0.19699161661784093,0.25825052025880085,0.271031963409444
4.9,0.24671006036036774,0.20360410087574896,0.2582731902664995,0.27107030117509767
5.0,0.24590514360389956,0.2059138813075113,0.2582702854476818,0.2710666317563814
5.1,0.2505095527379485,0.21493316822788372,0.2583139592998588,0.2710833226501547
5.3,0.25149579450146126,0.22976943584024834,0.25829507359624815,0.2710686061523051
5.4,0.25447107407681197,0.23721026438623316,0.25832091025682913,0.2710560970059321
5.5,0.2593222852870939,0.23809882896928383,0.2583141768080979,0.27109805963964595
5.6,0.26279089709829095,0.25236973003989754,0.25830698488777065,0.2710288201362614
5.7,0.264612395625445,0.25481676429730515,0.25829818802885124,0.2710806728493814
5.8,0.2657658702337647,0.2677159138872005,0.25829466331611356,0.27108589118474485
5.9,0.2703085716126411,0.28109219256492607,0.2583201453104232,0.27103352420285926
6.0,0.2691920952266338,0.29466485549230303,0.25826118292994726,0.27100467047746696
6.1,0.2745952270609531,0.30302605106905256,0.2582771339433106,0.2710605734743154
6.2,0.28173931902100174,0.3082238210078136,0.2582831963063933,0.2710319725702852
6.3,0.28435958346236084,0.32130477839602356,0.25830331716844585,0.2710688759035338
6.4,0.2877165503610232,0.3349835628844011,0.25829519650872745,0.2710697692194838
6.5,0.29277118911769157,0.34531873998682405,0.2582406913204768,0.27102747339804983
6.7,0.301083369183842,0.37264958916677615,0.2583331468687097,0.2710817320844346
6.9,0.3163360903165827,0.4042735315430923,0.25825641809934985,0.2710687927334446
7.1,0.32382957315034483,0.4403834615832455,0.2583275253092949,0.27105818971850826
7.2,0.33488799737564756,0.47558273026296755,0.25830719562107135,0.2710669982463155
7.3,0.34554411977860416,0.4939086052715515,0.2582649245479757,0.27104608554306175
7.5,0.36100995697997074,0.5668759280362745,0.25828108790306076,0.2710745495936128
7.7,0.3849361016540203,0.6621995679986503,0.2582979856485148,0.27105621134566404
7.9,0.4208057887415359,0.6908583751580076,0.25830862438242214,0.2710583342008857
8.1,0.4529890192363177,0.698746269945708,0.258268129905507,0.2710572926224749
8.3,0.5112166664906854,0.6990268503710126,0.2583148151102334,0.27105984394849797
8.5,0.582188114087398,0.6989802472182178,0.25830078233754517,0.2710619232386729
8.8,0.6797036519117521,0.6991889379914246,0.2582825414662273,0.2710809466441933
9.0,0.721300544640006,0.6991029793001049,0.2582861360205364,0.27106343618352324
9.2,0.7245639779039437,0.6991568690500387,0.2582826006657597,0.27105468248554243
9.4,0.7245208642934761,0.6990776605198201,0.25828700238716323,0.27106808275213146
9.6,0.7245022666912802,0.6991124929442581,0.2582570099895036,0.27103683131922307
9.8,0.7245892424312715,0.6991127300850788,0.2583002124537095,0.2710179261706711
10.0,0.7244573662653143,0.6991589080434679,0.25830646345357333,0.2710624374581009
